"",20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500
58,108.56,103.22,98.01,93.05,88.77,84.69,80.73,77.26,74.09,70.92,68.24,65.84,63.63,61.62,60.16,58.87,57.91,58.01,60.12,61.13,57.90,55.19,54.35,55.49,58.81,64.31,69.69,71.29,66.94
59,109.03,103.72,98.54,93.61,89.37,85.32,81.39,77.96,74.83,71.70,69.06,66.69,64.51,62.54,61.11,59.85,58.90,59.01,61.14,62.16,58.93,56.22,55.39,56.53,59.85,65.34,70.67,72.22,67.79
60,109.51,104.23,99.08,94.18,89.96,85.94,82.05,78.65,75.56,72.47,69.86,67.53,65.39,63.45,62.05,60.81,59.89,60.01,62.15,63.19,59.96,57.26,56.42,57.57,60.89,66.36,71.66,73.16,68.63
61,109.99,104.73,99.61,94.74,90.56,86.57,82.72,79.35,76.30,73.25,70.67,68.38,66.27,64.37,62.99,61.78,60.88,61.01,63.17,64.22,60.99,58.29,57.46,58.61,61.93,67.38,72.65,74.09,69.47
62,110.46,105.24,100.14,95.30,91.15,87.20,83.38,80.05,77.03,74.02,71.48,69.22,67.15,65.28,63.94,62.75,61.87,62.01,64.19,65.25,62.03,59.32,58.49,59.65,62.97,68.41,73.64,75.02,70.32
63,110.94,105.74,100.68,95.87,91.74,87.82,84.04,80.75,77.76,74.79,72.29,70.06,68.03,66.19,64.88,63.72,62.86,63.01,65.20,66.28,63.06,60.35,59.53,60.69,64.00,69.43,74.63,75.95,71.16
64,111.42,106.24,101.21,96.43,92.33,88.45,84.70,81.44,78.49,75.56,73.09,70.91,68.91,67.11,65.82,64.69,63.85,64.01,66.22,67.31,64.09,61.39,60.56,61.73,65.04,70.45,75.62,76.88,72.00
65,111.89,106.74,101.74,96.99,92.92,89.07,85.36,82.13,79.22,76.33,73.90,71.75,69.78,68.02,66.76,65.66,64.83,65.01,67.24,68.33,65.12,62.42,61.60,62.77,66.08,71.48,76.61,77.82,72.84
66,112.37,107.25,102.27,97.55,93.51,89.69,86.02,82.83,79.95,77.10,74.70,72.59,70.66,68.93,67.71,66.63,65.82,66.01,68.25,69.36,66.16,63.45,62.63,63.80,67.12,72.50,77.59,78.75,73.68
67,112.84,107.75,102.80,98.11,94.10,90.32,86.67,83.52,80.67,77.87,75.51,73.43,71.54,69.85,68.65,67.60,66.81,67.01,69.27,70.39,67.19,64.48,63.66,64.84,68.15,73.52,78.58,79.68,74.52
68,113.31,108.25,103.33,98.67,94.69,90.94,87.33,84.21,81.40,78.64,76.31,74.27,72.41,70.76,69.59,68.57,67.80,68.01,70.29,71.42,68.22,65.51,64.69,65.88,69.19,74.55,79.57,80.61,75.36
69,113.79,108.75,103.86,99.22,95.28,91.56,87.99,84.90,82.13,79.41,77.11,75.11,73.29,71.67,70.53,69.53,68.79,69.01,71.30,72.45,69.25,66.55,65.73,66.92,70.23,75.57,80.56,81.54,76.20
70,114.26,109.25,104.38,99.78,95.87,92.18,88.64,85.60,82.85,80.17,77.92,75.94,74.16,72.58,71.47,70.50,69.78,70.01,72.32,73.47,70.28,67.58,66.76,67.95,71.26,76.59,81.54,82.46,77.04
71,114.74,109.75,104.91,100.34,96.46,92.80,89.30,86.29,83.58,80.94,78.72,76.78,75.04,73.49,72.41,71.47,70.77,71.01,73.34,74.50,71.31,68.61,67.79,68.99,72.30,77.61,82.53,83.39,77.88
72,115.21,110.25,105.44,100.90,97.04,93.42,89.95,86.98,84.30,81.70,79.52,77.62,75.91,74.40,73.35,72.44,71.76,72.01,74.35,75.53,72.34,69.64,68.82,70.03,73.34,78.63,83.52,84.32,78.72
73,115.68,110.75,105.97,101.45,97.63,94.04,90.61,87.67,85.03,82.47,80.32,78.46,76.78,75.31,74.29,73.40,72.75,73.01,75.37,76.56,73.37,70.67,69.86,71.06,74.37,79.66,84.50,85.25,79.56
74,116.16,111.24,106.49,102.01,98.21,94.66,91.26,88.35,85.75,83.23,81.12,79.29,77.66,76.22,75.23,74.37,73.74,74.01,76.39,77.58,74.40,71.70,70.89,72.10,75.41,80.68,85.49,86.18,80.39
75,116.63,111.74,107.02,102.56,98.80,95.28,91.91,89.04,86.48,84.00,81.92,80.13,78.53,77.13,76.17,75.34,74.73,75.01,77.40,78.61,75.44,72.73,71.92,73.13,76.44,81.70,86.48,87.10,81.23
76,117.10,112.24,107.54,103.12,99.38,95.89,92.57,89.73,87.20,84.76,82.72,80.97,79.40,78.04,77.11,76.31,75.71,76.01,78.42,79.64,76.47,73.76,72.95,74.17,77.48,82.72,87.46,88.03,82.06
77,117.57,112.74,108.07,103.67,99.97,96.51,93.22,90.42,87.92,85.53,83.52,81.80,80.28,78.95,78.05,77.27,76.70,77.01,79.43,80.66,77.50,74.79,73.98,75.21,78.51,83.74,88.45,88.96,82.90
78,118.05,113.24,108.60,104.23,100.55,97.13,93.87,91.11,88.65,86.29,84.32,82.64,81.15,79.86,78.99,78.24,77.69,78.01,80.45,81.69,78.53,75.82,75.01,76.24,79.55,84.77,89.43,89.88,83.74
